Date,Open,High,Low,Close,Adj Close,Volume
3/15/2019,481.950012,491.100006,480.950012,487.5,483.823334,307080
3/18/2019,489,502.899994,488.25,499.899994,496.129822,1166941
3/19/2019,505.200012,511.950012,491.549988,495.299988,491.564514,828410
3/20/2019,497.899994,504.899994,492.299988,496.850006,493.102814,298907
3/22/2019,498,523.599976,498,516.650024,512.75354,2120562
3/25/2019,513.5,525,504.049988,512.549988,508.684418,2375072
3/26/2019,514.900024,524,514.400024,521,517.070679,420654
3/27/2019,524.900024,527,515.299988,523.349976,519.402893,569757
3/28/2019,524.049988,541.950012,521.599976,532,527.987732,512934
4/1/2019,526.400024,535,521,531.950012,527.93811,340540
4/2/2019,537,553,533.75,547.200012,543.07312,978174
4/3/2019,549.799988,553,532.5,538,533.942444,318284
4/4/2019,539,541.450012,527.75,534.700012,530.667358,229343
4/5/2019,534.700012,554,534.700012,537.799988,533.743958,719680
4/8/2019,538,550,523.549988,537.400024,533.347046,487974
4/9/2019,538.549988,543.950012,525.099976,541.900024,537.81311,183487
4/10/2019,541.5,572.799988,541,564.849976,560.589966,842142
4/11/2019,564.849976,578,562.549988,567.849976,563.567322,1062406
4/12/2019,568.799988,591.299988,566.650024,586.900024,582.473694,1413624
4/15/2019,590.549988,608.25,582.349976,597.799988,593.291443,1575206
4/16/2019,600,600,573.5,576.900024,572.549133,315848
4/18/2019,577.950012,577.950012,545.5,549.200012,545.058044,434047
4/22/2019,551.400024,554.450012,528.049988,530.349976,526.350159,219012
4/23/2019,533.400024,539,525,526.950012,522.975769,168982
4/24/2019,526.950012,526.950012,520,522.299988,518.360901,140844
4/25/2019,528,539.299988,524.150024,534.150024,530.121582,661742
4/26/2019,537.700012,542,515,518.599976,514.688782,431895
4/30/2019,518.700012,518.700012,490.200012,507.299988,503.473999,559389
5/2/2019,509.5,517.950012,505,515.549988,511.661774,410808
5/3/2019,518.799988,525.900024,516.549988,523.450012,519.502197,502496
5/6/2019,520,533.049988,513.049988,521.75,517.815002,486185
5/7/2019,524,528.849976,516,521.25,517.318787,151283
5/8/2019,517.25,520.549988,489,492.350006,488.636749,506732
5/9/2019,491,507.700012,487.049988,502.649994,498.85907,229855
5/10/2019,513.400024,529.400024,510.450012,522.650024,518.708252,960829
5/13/2019,518,549,516.950012,537.75,533.694397,1069068
5/14/2019,539.049988,541.900024,505,509.049988,505.210815,490570
5/15/2019,514,533.900024,512.049988,529.650024,525.655457,329892
5/16/2019,530,539.049988,517.400024,522.900024,518.95636,152812
5/17/2019,522,527.5,517,525.599976,521.635986,125976
5/20/2019,537,573,525.849976,566.599976,562.326782,1540037
5/21/2019,568.799988,574.549988,545.150024,555.450012,551.260864,313595
5/22/2019,553.150024,565.450012,549,555.650024,551.459412,159185
5/23/2019,559.299988,571.799988,526,533.150024,529.129089,514194
5/24/2019,542.900024,557.099976,536.5,553.349976,549.176636,310617
5/27/2019,554,578,553.549988,567.799988,563.5177,431259
5/28/2019,571.5,571.950012,552.25,563.900024,559.647217,1062472
5/29/2019,566.400024,572.200012,552,559.049988,554.833679,972701
5/30/2019,558.950012,565.349976,548.700012,563.549988,559.299744,171585
5/31/2019,565.650024,565.950012,551.150024,561.549988,557.314819,273506
6/3/2019,561.650024,565,548.200012,560.200012,555.975098,381440
6/4/2019,560,569.900024,552.299988,555.349976,551.161621,211685
6/6/2019,559.599976,564.049988,531.150024,538.700012,534.637207,302537
6/7/2019,543,549,526.950012,535.150024,531.113953,205153
6/10/2019,537.150024,545,532.950012,543.700012,539.599487,107292
6/11/2019,541.5,544.900024,534.299988,539.400024,535.33197,161129
6/12/2019,536,547.450012,526.099976,530.450012,526.449463,159792
6/13/2019,528,535,525,528.299988,524.315613,253929
6/14/2019,528.900024,529,498.899994,515.650024,511.761047,276433
6/17/2019,516,523.400024,504.600006,513.349976,509.478363,127928
6/18/2019,513.049988,522.450012,511.649994,520.400024,516.475281,74205
6/19/2019,524,537,522.5,534.349976,530.319946,264880
6/20/2019,536.700012,540.599976,522,529.299988,525.308105,172716
6/21/2019,532.5,559.900024,530.549988,555.400024,551.211243,462581
6/24/2019,557,559,540,541.900024,537.81311,158732
6/25/2019,545,569,543.349976,565.700012,561.433594,516005
6/26/2019,565,583,558,579.150024,574.782166,527904
6/27/2019,580,600.650024,580,592.25,587.783325,549578
6/28/2019,585,621.700012,583.5,607.599976,603.017517,673709
